dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file
bci_competition_iv_2a_proxy,directed_tv,gaussian__sigma1,0.1,4.200872514079042e-07,1.5188138527240226e-06,,12.797559128198266,bci_competition_iv_2a_proxy__0.1_0,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,tv,gaussian__sigma1,0.1,3.754164689135391e-07,1.3251207459443598e-06,,13.285820942135558,bci_competition_iv_2a_proxy__0.1_1,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,trss,gaussian__sigma1,0.1,3.658279971618631e-07,1.5452724022346547e-06,,13.398184753104577,bci_competition_iv_2a_proxy__0.1_2,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,heat_diffusion_temporal,gaussian__sigma1,0.1,4.6190910880793844e-07,1.194377627610739e-06,,12.385388883059964,bci_competition_iv_2a_proxy__0.1_3,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,graph_time_tikhonov,gaussian__sigma1,0.1,3.867671792345938e-07,1.29199620490979e-06,,13.156458016619103,bci_competition_iv_2a_proxy__0.1_4,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,temporal_laplacian,gaussian__sigma1,0.1,4.54008765950018e-07,1.8452746000958648e-06,,12.460311766268644,bci_competition_iv_2a_proxy__0.1_5,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,wavelet_temporal,gaussian__sigma1,0.1,4.53231906573934e-07,1.6555117550048872e-06,,12.467749391858662,bci_competition_iv_2a_proxy__0.1_6,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,linear,gaussian__sigma1,0.1,5.776070943980301e-07,1.8062199580594735e-06,,11.414628962671529,bci_competition_iv_2a_proxy__0.1_7,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,nearest,gaussian__sigma1,0.1,6.331021855383334e-07,1.9109840983391737e-06,,11.016216023339018,bci_competition_iv_2a_proxy__0.1_8,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,mean,gaussian__sigma1,0.1,5.9743966170759e-07,2.068329296560629e-06,,11.26801364702018,bci_competition_iv_2a_proxy__0.1_9,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,idw,gaussian__sigma1,0.1,6.745708793265172e-07,1.986986557627944e-06,,10.740678260039454,bci_competition_iv_2a_proxy__0.1_10,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,gsmooth,gaussian__sigma1,0.1,5.389129072375815e-07,1.639696586900664e-06,,11.715768297005347,bci_competition_iv_2a_proxy__0.1_11,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,tikhonov,gaussian__sigma1,0.1,6.666449169314595e-07,2.585577362641655e-06,,10.792008430896466,bci_competition_iv_2a_proxy__0.1_12,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,spherical_spline,gaussian__sigma1,0.1,6.217760089191123e-07,2.745183223124248e-06,,11.094614542001182,bci_competition_iv_2a_proxy__0.1_13,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,rbfi_tps,gaussian__sigma1,0.1,6.540504348721477e-07,1.7280066660693992e-06,,10.87484176352156,bci_competition_iv_2a_proxy__0.1_14,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,rbfi_mq,gaussian__sigma1,0.1,7.145225037641964e-07,1.899503213808848e-06,,10.49079503779878,bci_competition_iv_2a_proxy__0.1_15,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,spline_surface,gaussian__sigma1,0.1,6.485860984190917e-07,2.215205545512268e-06,,10.91127779191588,bci_competition_iv_2a_proxy__0.1_16,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,puy,gaussian__sigma1,0.1,5.209063967493438e-07,1.657419848483989e-06,,11.863357243546991,bci_competition_iv_2a_proxy__0.1_17,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,bgsrp,gaussian__sigma1,0.1,6.016849436501596e-07,2.50020861491575e-06,,11.237262710644798,bci_competition_iv_2a_proxy__0.1_18,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,sobolev,gaussian__sigma1,0.1,6.984051808805777e-07,2.463962802447577e-06,,10.589879627666424,bci_competition_iv_2a_proxy__0.1_19,it66_bci_competition_gaussian_raw.csv
bci_competition_iv_2a_proxy,directed_tv,gaussian__sigma1,0.2,4.7400171938729673e-07,1.364095345675095e-06,,12.27315497875292,bci_competition_iv_2a_proxy__0.2_20,it66_bci_competition_gaussian_raw.csv
