Method,median,mean,std,min,max,25th_pctl_DTW,75th_pctl_DTW
Spline Superficie(s=50.0),0.01076463182687461,0.01429027818338875,0.008828889047429444,0.004485232238327081,0.048548646424164656,0.007895436188626986,0.01655489756544976
Spline Superficie(s=10.0),0.013587494034632955,0.019192219790487155,0.019981460381013654,0.00508153486024241,0.12213274537919125,0.00899735842897702,0.020577593245203963
"Tikhonov(KNN(k=5,σ=0.10),τ=0.01)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(KNN(k=5,σ=0.10),τ=0.1)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(KNN(k=5,σ=0.10),τ=1)",0.01502607481533437,0.01743927275714569,0.008796739895317547,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(Radius(r=0.30,σ=0.10),τ=0.01)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(Radius(r=0.30,σ=0.10),τ=0.1)",0.01502607481533437,0.01743927275714569,0.008796739895317544,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(Radius(r=0.30,σ=0.10),τ=1)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=0.01)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=0.1)",0.01502607481533437,0.01743927275714569,0.008796739895317547,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(VKNN(k_min=2,k_max=10,β=0.01),τ=1)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=0.01)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=0.1)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(Kaliofolias(a=0.34,b=0.4,γ=0.04),τ=1)",0.01502607481533437,0.01743927275714569,0.008796739895317547,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(NNK(k=5),τ=0.01)",0.01502607481533437,0.01743927275714569,0.008796739895317547,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(NNK(k=5),τ=0.1)",0.01502607481533437,0.01743927275714569,0.008796739895317544,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(NNK(k=5),τ=1)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(AEW(k=5,σ=0.10),τ=0.01)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(AEW(k=5,σ=0.10),τ=0.1)",0.01502607481533437,0.01743927275714569,0.008796739895317547,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
"Tikhonov(AEW(k=5,σ=0.10),τ=1)",0.01502607481533437,0.01743927275714569,0.008796739895317545,0.007169821364012486,0.046593347970213896,0.010942689325330855,0.019441006669237176
RBFI MQ(ε=1.0),0.033983998436293794,0.056930905498126884,0.08089897665864995,0.007748465286939665,0.40004962232979413,0.019474451306083867,0.049249554896248625
RBFI MQ(ε=1.1),0.03526375139066805,0.060252383570914246,0.08482741116041531,0.006620425914814848,0.4322625865542506,0.02088444573551564,0.05136295421471068
RBFI MQ(ε=0.9),0.10810570657731697,0.3350782095803914,0.633878830618479,0.023689307985567117,3.153325174214397,0.061495491077060725,0.22233382317069808
