Dataset,Familia,Combinacion,n_rows,MAE,RMSE,DTW,SNR,LSD,COHERENCE_MEAN
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | ica,120,0.1650436685508916,0.4542469249479733,2.6779127154082434,7.004903364573793,2.415039911546592,0.891837390710478
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | linear,120,0.0636365089304227,0.1989049060297766,1.3880797175302089,16.036403139362772,2.233327566345251,0.9703192320943482
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | rbfi_tps,120,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | aew | spherical_spline,120,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | ica,120,0.1650436685508916,0.4542469249479733,2.6779127154082434,7.004903364573793,2.415039911546592,0.891837390710478
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | linear,120,0.0636365089304227,0.1989049060297766,1.3880797175302089,16.036403139362772,2.233327566345251,0.9703192320943482
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | rbfi_tps,120,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | epsilon_ball | spherical_spline,120,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | ica,120,0.1650436685508916,0.4542469249479733,2.6779127154082434,7.004903364573793,2.415039911546592,0.891837390710478
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | linear,120,0.0636365089304227,0.1989049060297766,1.3880797175302089,16.036403139362772,2.233327566345251,0.9703192320943482
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | rbfi_tps,120,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | kalofolias | spherical_spline,120,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | ica,60,0.1650436685508916,0.4542469249479733,2.6779127154082434,7.004903364573793,2.415039911546592,0.891837390710478
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | linear,60,0.0636365089304227,0.1989049060297766,1.3880797175302089,16.036403139362772,2.233327566345251,0.9703192320943482
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | rbfi_tps,60,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k3 | spherical_spline,60,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | ica,60,0.1650436685508916,0.4542469249479733,2.6779127154082434,7.004903364573793,2.415039911546592,0.891837390710478
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | linear,60,0.0636365089304227,0.1989049060297766,1.3880797175302089,16.036403139362772,2.233327566345251,0.9703192320943482
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | rbfi_tps,60,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k5 | spherical_spline,60,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | ica,60,0.1650436685508916,0.4542469249479733,2.6779127154082434,7.004903364573793,2.415039911546592,0.891837390710478
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | linear,60,0.0636365089304227,0.1989049060297766,1.3880797175302089,16.036403139362772,2.233327566345251,0.9703192320943482
bci_iv2a_real_s3,Baseline,bci_iv2a_real_s3 | knn__k7 | rbfi_tps,60,0.0813855893771333,0.2398442211782771,1.744889045062476,13.647703067553264,2.2688318891534034,0.9555696740849317
