dataset,graph,method,missing_ratio,seed,mode,mae,rmse,snr,dtw
synthetic_16ch,knn__k3,mean,0.1,0,full_signal,0.49565582653660045,0.6085865823397126,1.8483629099237,0.49565582653660045
synthetic_16ch,knn__k3,tikhonov,0.1,0,full_signal,0.5420884922734748,0.6686829483400405,1.0367897330880584,0.5420884922734748
synthetic_16ch,knn__k3,temporal_laplacian,0.1,0,full_signal,0.6723523811485815,0.7538828663224914,-0.01386270612371765,0.6723523811485815
synthetic_16ch,knn__k3,tv,0.1,0,full_signal,0.5234034219983964,0.6465234045214093,1.3304934961658366,0.5234034219983964
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,0,full_signal,0.5131228691887381,0.6319773820652468,1.5266256080270026,0.5131228691887381
synthetic_16ch,knn__k3,mean,0.1,1,full_signal,0.48597164124204234,0.597417429011163,1.5615149995174074,0.48597164124204234
synthetic_16ch,knn__k3,tikhonov,0.1,1,full_signal,0.5222540512731859,0.6467784850117172,0.8724931627904818,0.5222540512731859
synthetic_16ch,knn__k3,temporal_laplacian,0.1,1,full_signal,0.6123519107946293,0.6948509170047672,0.24874656361134642,0.6123519107946293
synthetic_16ch,knn__k3,tv,0.1,1,full_signal,0.5083641815871662,0.6296805021941887,1.1053753488968319,0.5083641815871662
synthetic_16ch,knn__k3,graph_time_tikhonov,0.1,1,full_signal,0.4947766640066963,0.6129153699903003,1.3395604046180234,0.4947766640066963
synthetic_16ch,knn__k3,mean,0.2,0,full_signal,0.4852148431825431,0.6021292919104148,1.5056232614334,0.4852148431825431
synthetic_16ch,knn__k3,tikhonov,0.2,0,full_signal,0.5226525717516236,0.6484789224768555,0.8618237463115233,0.5226525717516236
synthetic_16ch,knn__k3,temporal_laplacian,0.2,0,full_signal,0.6324316338522029,0.7163823431010162,-0.003515706182230347,0.6324316338522029
synthetic_16ch,knn__k3,tv,0.2,0,full_signal,0.5098713581209726,0.6316358893230481,1.090493603231051,0.5098713581209726
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,0,full_signal,0.49626231052380415,0.6139572893400067,1.3370685434733962,0.49626231052380415
synthetic_16ch,knn__k3,mean,0.2,1,full_signal,0.4772363586461472,0.5958184512978567,1.5081044532426922,0.4772363586461472
synthetic_16ch,knn__k3,tikhonov,0.2,1,full_signal,0.5209921858130735,0.6540182592444966,0.6991459810402524,0.5209921858130735
synthetic_16ch,knn__k3,temporal_laplacian,0.2,1,full_signal,0.6368429847430427,0.7189175435450896,-0.12320022566971565,0.6368429847430427
synthetic_16ch,knn__k3,tv,0.2,1,full_signal,0.5020760901989639,0.6299288558355229,1.0249471307781952,0.5020760901989639
synthetic_16ch,knn__k3,graph_time_tikhonov,0.2,1,full_signal,0.4951708556680091,0.6212621613242257,1.1454977387755254,0.4951708556680091
